input_row_index,sample_id,conic_index,image_path,mask_path,class_label_path,image_height,image_width,count_total,neutrophil,epithelial,lymphocyte,plasma,eosinophil,connective
40,consep_4-0000,40,data/conic_liz/images/consep_4-0000_image.png,data/conic_liz/masks/consep_4-0000_mask.png,data/conic_liz/class_labels/consep_4-0000_class_labels.png,256,256,53,0,0,1,0,0,52
41,consep_4-0001,41,data/conic_liz/images/consep_4-0001_image.png,data/conic_liz/masks/consep_4-0001_mask.png,data/conic_liz/class_labels/consep_4-0001_class_labels.png,256,256,35,0,0,2,0,0,33
42,consep_4-0002,42,data/conic_liz/images/consep_4-0002_image.png,data/conic_liz/masks/consep_4-0002_mask.png,data/conic_liz/class_labels/consep_4-0002_class_labels.png,256,256,51,0,0,3,0,0,48
43,consep_4-0003,43,data/conic_liz/images/consep_4-0003_image.png,data/conic_liz/masks/consep_4-0003_mask.png,data/conic_liz/class_labels/consep_4-0003_class_labels.png,256,256,35,0,0,3,0,0,32
44,consep_5-0000,44,data/conic_liz/images/consep_5-0000_image.png,data/conic_liz/masks/consep_5-0000_mask.png,data/conic_liz/class_labels/consep_5-0000_class_labels.png,256,256,91,0,88,2,0,0,1
45,consep_5-0001,45,data/conic_liz/images/consep_5-0001_image.png,data/conic_liz/masks/consep_5-0001_mask.png,data/conic_liz/class_labels/consep_5-0001_class_labels.png,256,256,104,0,91,5,1,0,7
46,consep_5-0002,46,data/conic_liz/images/consep_5-0002_image.png,data/conic_liz/masks/consep_5-0002_mask.png,data/conic_liz/class_labels/consep_5-0002_class_labels.png,256,256,128,0,91,20,4,0,13
47,consep_5-0003,47,data/conic_liz/images/consep_5-0003_image.png,data/conic_liz/masks/consep_5-0003_mask.png,data/conic_liz/class_labels/consep_5-0003_class_labels.png,256,256,117,0,112,2,0,0,3
48,consep_6-0000,48,data/conic_liz/images/consep_6-0000_image.png,data/conic_liz/masks/consep_6-0000_mask.png,data/conic_liz/class_labels/consep_6-0000_class_labels.png,256,256,68,0,39,9,2,0,18
49,consep_6-0001,49,data/conic_liz/images/consep_6-0001_image.png,data/conic_liz/masks/consep_6-0001_mask.png,data/conic_liz/class_labels/consep_6-0001_class_labels.png,256,256,66,0,28,14,1,0,23
50,consep_6-0002,50,data/conic_liz/images/consep_6-0002_image.png,data/conic_liz/masks/consep_6-0002_mask.png,data/conic_liz/class_labels/consep_6-0002_class_labels.png,256,256,99,0,30,37,9,0,23
51,consep_6-0003,51,data/conic_liz/images/consep_6-0003_image.png,data/conic_liz/masks/consep_6-0003_mask.png,data/conic_liz/class_labels/consep_6-0003_class_labels.png,256,256,62,0,41,9,2,0,10
52,consep_7-0000,52,data/conic_liz/images/consep_7-0000_image.png,data/conic_liz/masks/consep_7-0000_mask.png,data/conic_liz/class_labels/consep_7-0000_class_labels.png,256,256,12,8,0,3,0,0,1
53,consep_7-0001,53,data/conic_liz/images/consep_7-0001_image.png,data/conic_liz/masks/consep_7-0001_mask.png,data/conic_liz/class_labels/consep_7-0001_class_labels.png,256,256,7,0,0,1,0,0,6
54,consep_7-0002,54,data/conic_liz/images/consep_7-0002_image.png,data/conic_liz/masks/consep_7-0002_mask.png,data/conic_liz/class_labels/consep_7-0002_class_labels.png,256,256,5,0,0,0,0,0,5
55,consep_7-0003,55,data/conic_liz/images/consep_7-0003_image.png,data/conic_liz/masks/consep_7-0003_mask.png,data/conic_liz/class_labels/consep_7-0003_class_labels.png,256,256,7,0,0,0,0,0,7
56,consep_8-0000,56,data/conic_liz/images/consep_8-0000_image.png,data/conic_liz/masks/consep_8-0000_mask.png,data/conic_liz/class_labels/consep_8-0000_class_labels.png,256,256,167,0,88,48,8,1,22
57,consep_8-0001,57,data/conic_liz/images/consep_8-0001_image.png,data/conic_liz/masks/consep_8-0001_mask.png,data/conic_liz/class_labels/consep_8-0001_class_labels.png,256,256,199,0,49,114,9,10,17
58,consep_8-0002,58,data/conic_liz/images/consep_8-0002_image.png,data/conic_liz/masks/consep_8-0002_mask.png,data/conic_liz/class_labels/consep_8-0002_class_labels.png,256,256,146,0,91,27,3,4,21
59,consep_8-0003,59,data/conic_liz/images/consep_8-0003_image.png,data/conic_liz/masks/consep_8-0003_mask.png,data/conic_liz/class_labels/consep_8-0003_class_labels.png,256,256,89,0,52,22,2,0,13
60,consep_9-0000,60,data/conic_liz/images/consep_9-0000_image.png,data/conic_liz/masks/consep_9-0000_mask.png,data/conic_liz/class_labels/consep_9-0000_class_labels.png,256,256,14,4,0,4,0,0,6
61,consep_9-0001,61,data/conic_liz/images/consep_9-0001_image.png,data/conic_liz/masks/consep_9-0001_mask.png,data/conic_liz/class_labels/consep_9-0001_class_labels.png,256,256,14,0,0,0,0,0,14
62,consep_9-0002,62,data/conic_liz/images/consep_9-0002_image.png,data/conic_liz/masks/consep_9-0002_mask.png,data/conic_liz/class_labels/consep_9-0002_class_labels.png,256,256,2,0,0,2,0,0,0
63,consep_9-0003,63,data/conic_liz/images/consep_9-0003_image.png,data/conic_liz/masks/consep_9-0003_mask.png,data/conic_liz/class_labels/consep_9-0003_class_labels.png,256,256,17,0,0,1,0,0,16
64,crag_1-0000,64,data/conic_liz/images/crag_1-0000_image.png,data/conic_liz/masks/crag_1-0000_mask.png,data/conic_liz/class_labels/crag_1-0000_class_labels.png,256,256,33,0,0,0,0,0,33
65,crag_1-0001,65,data/conic_liz/images/crag_1-0001_image.png,data/conic_liz/masks/crag_1-0001_mask.png,data/conic_liz/class_labels/crag_1-0001_class_labels.png,256,256,10,0,0,1,0,0,9
66,crag_1-0002,66,data/conic_liz/images/crag_1-0002_image.png,data/conic_liz/masks/crag_1-0002_mask.png,data/conic_liz/class_labels/crag_1-0002_class_labels.png,256,256,11,0,0,0,0,0,11
67,crag_1-0003,67,data/conic_liz/images/crag_1-0003_image.png,data/conic_liz/masks/crag_1-0003_mask.png,data/conic_liz/class_labels/crag_1-0003_class_labels.png,256,256,10,0,0,0,0,0,10
68,crag_1-0004,68,data/conic_liz/images/crag_1-0004_image.png,data/conic_liz/masks/crag_1-0004_mask.png,data/conic_liz/class_labels/crag_1-0004_class_labels.png,256,256,5,0,0,0,0,0,5
69,crag_1-0005,69,data/conic_liz/images/crag_1-0005_image.png,data/conic_liz/masks/crag_1-0005_mask.png,data/conic_liz/class_labels/crag_1-0005_class_labels.png,256,256,36,0,0,1,0,0,35
70,crag_1-0006,70,data/conic_liz/images/crag_1-0006_image.png,data/conic_liz/masks/crag_1-0006_mask.png,data/conic_liz/class_labels/crag_1-0006_class_labels.png,256,256,30,0,0,4,0,0,26
71,crag_1-0007,71,data/conic_liz/images/crag_1-0007_image.png,data/conic_liz/masks/crag_1-0007_mask.png,data/conic_liz/class_labels/crag_1-0007_class_labels.png,256,256,16,0,0,0,0,0,16
72,crag_1-0008,72,data/conic_liz/images/crag_1-0008_image.png,data/conic_liz/masks/crag_1-0008_mask.png,data/conic_liz/class_labels/crag_1-0008_class_labels.png,256,256,15,0,0,1,0,0,14
73,crag_1-0009,73,data/conic_liz/images/crag_1-0009_image.png,data/conic_liz/masks/crag_1-0009_mask.png,data/conic_liz/class_labels/crag_1-0009_class_labels.png,256,256,20,0,0,2,0,0,18
74,crag_1-0010,74,data/conic_liz/images/crag_1-0010_image.png,data/conic_liz/masks/crag_1-0010_mask.png,data/conic_liz/class_labels/crag_1-0010_class_labels.png,256,256,33,0,0,1,0,0,32
75,crag_1-0011,75,data/conic_liz/images/crag_1-0011_image.png,data/conic_liz/masks/crag_1-0011_mask.png,data/conic_liz/class_labels/crag_1-0011_class_labels.png,256,256,37,0,0,3,0,0,34
76,crag_1-0012,76,data/conic_liz/images/crag_1-0012_image.png,data/conic_liz/masks/crag_1-0012_mask.png,data/conic_liz/class_labels/crag_1-0012_class_labels.png,256,256,19,0,0,1,0,0,18
77,crag_1-0013,77,data/conic_liz/images/crag_1-0013_image.png,data/conic_liz/masks/crag_1-0013_mask.png,data/conic_liz/class_labels/crag_1-0013_class_labels.png,256,256,13,0,0,0,0,1,12
78,crag_1-0014,78,data/conic_liz/images/crag_1-0014_image.png,data/conic_liz/masks/crag_1-0014_mask.png,data/conic_liz/class_labels/crag_1-0014_class_labels.png,256,256,8,0,0,0,0,0,8
79,crag_1-0015,79,data/conic_liz/images/crag_1-0015_image.png,data/conic_liz/masks/crag_1-0015_mask.png,data/conic_liz/class_labels/crag_1-0015_class_labels.png,256,256,24,0,0,1,0,0,23
80,crag_1-0016,80,data/conic_liz/images/crag_1-0016_image.png,data/conic_liz/masks/crag_1-0016_mask.png,data/conic_liz/class_labels/crag_1-0016_class_labels.png,256,256,40,0,4,1,0,0,35
81,crag_1-0017,81,data/conic_liz/images/crag_1-0017_image.png,data/conic_liz/masks/crag_1-0017_mask.png,data/conic_liz/class_labels/crag_1-0017_class_labels.png,256,256,24,0,3,0,0,0,21
82,crag_1-0018,82,data/conic_liz/images/crag_1-0018_image.png,data/conic_liz/masks/crag_1-0018_mask.png,data/conic_liz/class_labels/crag_1-0018_class_labels.png,256,256,4,0,0,1,0,0,3
83,crag_1-0019,83,data/conic_liz/images/crag_1-0019_image.png,data/conic_liz/masks/crag_1-0019_mask.png,data/conic_liz/class_labels/crag_1-0019_class_labels.png,256,256,1,0,0,0,0,0,1
84,crag_1-0020,84,data/conic_liz/images/crag_1-0020_image.png,data/conic_liz/masks/crag_1-0020_mask.png,data/conic_liz/class_labels/crag_1-0020_class_labels.png,256,256,53,0,14,1,1,0,37
85,crag_1-0021,85,data/conic_liz/images/crag_1-0021_image.png,data/conic_liz/masks/crag_1-0021_mask.png,data/conic_liz/class_labels/crag_1-0021_class_labels.png,256,256,59,0,39,1,0,0,19
86,crag_1-0022,86,data/conic_liz/images/crag_1-0022_image.png,data/conic_liz/masks/crag_1-0022_mask.png,data/conic_liz/class_labels/crag_1-0022_class_labels.png,256,256,46,0,28,1,0,0,17
87,crag_1-0023,87,data/conic_liz/images/crag_1-0023_image.png,data/conic_liz/masks/crag_1-0023_mask.png,data/conic_liz/class_labels/crag_1-0023_class_labels.png,256,256,27,0,16,2,0,0,9
88,crag_1-0024,88,data/conic_liz/images/crag_1-0024_image.png,data/conic_liz/masks/crag_1-0024_mask.png,data/conic_liz/class_labels/crag_1-0024_class_labels.png,256,256,0,0,0,0,0,0,0
89,crag_1-0025,89,data/conic_liz/images/crag_1-0025_image.png,data/conic_liz/masks/crag_1-0025_mask.png,data/conic_liz/class_labels/crag_1-0025_class_labels.png,256,256,48,0,0,5,1,0,42
90,crag_1-0026,90,data/conic_liz/images/crag_1-0026_image.png,data/conic_liz/masks/crag_1-0026_mask.png,data/conic_liz/class_labels/crag_1-0026_class_labels.png,256,256,31,0,0,2,0,0,29
91,crag_1-0027,91,data/conic_liz/images/crag_1-0027_image.png,data/conic_liz/masks/crag_1-0027_mask.png,data/conic_liz/class_labels/crag_1-0027_class_labels.png,256,256,25,0,2,0,0,0,23
92,crag_1-0028,92,data/conic_liz/images/crag_1-0028_image.png,data/conic_liz/masks/crag_1-0028_mask.png,data/conic_liz/class_labels/crag_1-0028_class_labels.png,256,256,11,0,0,0,0,0,11
93,crag_1-0029,93,data/conic_liz/images/crag_1-0029_image.png,data/conic_liz/masks/crag_1-0029_mask.png,data/conic_liz/class_labels/crag_1-0029_class_labels.png,256,256,0,0,0,0,0,0,0
94,crag_1-0030,94,data/conic_liz/images/crag_1-0030_image.png,data/conic_liz/masks/crag_1-0030_mask.png,data/conic_liz/class_labels/crag_1-0030_class_labels.png,256,256,12,0,1,0,0,0,11
95,crag_1-0031,95,data/conic_liz/images/crag_1-0031_image.png,data/conic_liz/masks/crag_1-0031_mask.png,data/conic_liz/class_labels/crag_1-0031_class_labels.png,256,256,29,0,20,1,0,0,8
96,crag_1-0032,96,data/conic_liz/images/crag_1-0032_image.png,data/conic_liz/masks/crag_1-0032_mask.png,data/conic_liz/class_labels/crag_1-0032_class_labels.png,256,256,22,0,2,0,0,0,20
97,crag_1-0033,97,data/conic_liz/images/crag_1-0033_image.png,data/conic_liz/masks/crag_1-0033_mask.png,data/conic_liz/class_labels/crag_1-0033_class_labels.png,256,256,21,0,18,0,0,0,3
98,crag_1-0034,98,data/conic_liz/images/crag_1-0034_image.png,data/conic_liz/masks/crag_1-0034_mask.png,data/conic_liz/class_labels/crag_1-0034_class_labels.png,256,256,1,0,0,0,0,0,1
99,crag_1-0035,99,data/conic_liz/images/crag_1-0035_image.png,data/conic_liz/masks/crag_1-0035_mask.png,data/conic_liz/class_labels/crag_1-0035_class_labels.png,256,256,0,0,0,0,0,0,0
100,crag_10-0000,100,data/conic_liz/images/crag_10-0000_image.png,data/conic_liz/masks/crag_10-0000_mask.png,data/conic_liz/class_labels/crag_10-0000_class_labels.png,256,256,53,0,30,3,0,0,20
101,crag_10-0001,101,data/conic_liz/images/crag_10-0001_image.png,data/conic_liz/masks/crag_10-0001_mask.png,data/conic_liz/class_labels/crag_10-0001_class_labels.png,256,256,28,0,0,2,2,0,24
102,crag_10-0002,102,data/conic_liz/images/crag_10-0002_image.png,data/conic_liz/masks/crag_10-0002_mask.png,data/conic_liz/class_labels/crag_10-0002_class_labels.png,256,256,45,0,45,0,0,0,0
103,crag_10-0003,103,data/conic_liz/images/crag_10-0003_image.png,data/conic_liz/masks/crag_10-0003_mask.png,data/conic_liz/class_labels/crag_10-0003_class_labels.png,256,256,77,0,58,2,0,0,17
104,crag_10-0004,104,data/conic_liz/images/crag_10-0004_image.png,data/conic_liz/masks/crag_10-0004_mask.png,data/conic_liz/class_labels/crag_10-0004_class_labels.png,256,256,75,0,60,3,0,0,12
105,crag_10-0005,105,data/conic_liz/images/crag_10-0005_image.png,data/conic_liz/masks/crag_10-0005_mask.png,data/conic_liz/class_labels/crag_10-0005_class_labels.png,256,256,51,0,32,1,0,0,18
106,crag_10-0006,106,data/conic_liz/images/crag_10-0006_image.png,data/conic_liz/masks/crag_10-0006_mask.png,data/conic_liz/class_labels/crag_10-0006_class_labels.png,256,256,50,0,33,2,0,0,15
107,crag_10-0007,107,data/conic_liz/images/crag_10-0007_image.png,data/conic_liz/masks/crag_10-0007_mask.png,data/conic_liz/class_labels/crag_10-0007_class_labels.png,256,256,52,0,48,1,1,0,2
108,crag_10-0008,108,data/conic_liz/images/crag_10-0008_image.png,data/conic_liz/masks/crag_10-0008_mask.png,data/conic_liz/class_labels/crag_10-0008_class_labels.png,256,256,57,0,38,4,1,0,14
109,crag_10-0009,109,data/conic_liz/images/crag_10-0009_image.png,data/conic_liz/masks/crag_10-0009_mask.png,data/conic_liz/class_labels/crag_10-0009_class_labels.png,256,256,81,0,66,4,0,0,11
110,crag_10-0010,110,data/conic_liz/images/crag_10-0010_image.png,data/conic_liz/masks/crag_10-0010_mask.png,data/conic_liz/class_labels/crag_10-0010_class_labels.png,256,256,20,0,0,0,0,0,20
111,crag_10-0011,111,data/conic_liz/images/crag_10-0011_image.png,data/conic_liz/masks/crag_10-0011_mask.png,data/conic_liz/class_labels/crag_10-0011_class_labels.png,256,256,55,0,53,1,0,0,1
112,crag_10-0012,112,data/conic_liz/images/crag_10-0012_image.png,data/conic_liz/masks/crag_10-0012_mask.png,data/conic_liz/class_labels/crag_10-0012_class_labels.png,256,256,104,0,100,2,1,0,1
113,crag_10-0013,113,data/conic_liz/images/crag_10-0013_image.png,data/conic_liz/masks/crag_10-0013_mask.png,data/conic_liz/class_labels/crag_10-0013_class_labels.png,256,256,65,0,53,2,1,0,9
114,crag_10-0014,114,data/conic_liz/images/crag_10-0014_image.png,data/conic_liz/masks/crag_10-0014_mask.png,data/conic_liz/class_labels/crag_10-0014_class_labels.png,256,256,92,0,77,2,1,0,12
115,crag_10-0015,115,data/conic_liz/images/crag_10-0015_image.png,data/conic_liz/masks/crag_10-0015_mask.png,data/conic_liz/class_labels/crag_10-0015_class_labels.png,256,256,13,0,9,0,0,0,4
116,crag_10-0016,116,data/conic_liz/images/crag_10-0016_image.png,data/conic_liz/masks/crag_10-0016_mask.png,data/conic_liz/class_labels/crag_10-0016_class_labels.png,256,256,35,0,26,1,0,0,8
117,crag_10-0017,117,data/conic_liz/images/crag_10-0017_image.png,data/conic_liz/masks/crag_10-0017_mask.png,data/conic_liz/class_labels/crag_10-0017_class_labels.png,256,256,35,0,26,1,0,0,8
118,crag_10-0018,118,data/conic_liz/images/crag_10-0018_image.png,data/conic_liz/masks/crag_10-0018_mask.png,data/conic_liz/class_labels/crag_10-0018_class_labels.png,256,256,61,0,58,2,0,0,1
119,crag_10-0019,119,data/conic_liz/images/crag_10-0019_image.png,data/conic_liz/masks/crag_10-0019_mask.png,data/conic_liz/class_labels/crag_10-0019_class_labels.png,256,256,27,0,17,1,0,0,9
120,crag_10-0020,120,data/conic_liz/images/crag_10-0020_image.png,data/conic_liz/masks/crag_10-0020_mask.png,data/conic_liz/class_labels/crag_10-0020_class_labels.png,256,256,25,0,8,1,0,0,16
121,crag_10-0021,121,data/conic_liz/images/crag_10-0021_image.png,data/conic_liz/masks/crag_10-0021_mask.png,data/conic_liz/class_labels/crag_10-0021_class_labels.png,256,256,38,0,17,5,3,0,13
122,crag_10-0022,122,data/conic_liz/images/crag_10-0022_image.png,data/conic_liz/masks/crag_10-0022_mask.png,data/conic_liz/class_labels/crag_10-0022_class_labels.png,256,256,57,0,25,5,2,0,25
123,crag_10-0023,123,data/conic_liz/images/crag_10-0023_image.png,data/conic_liz/masks/crag_10-0023_mask.png,data/conic_liz/class_labels/crag_10-0023_class_labels.png,256,256,69,0,49,2,0,0,18
124,crag_10-0024,124,data/conic_liz/images/crag_10-0024_image.png,data/conic_liz/masks/crag_10-0024_mask.png,data/conic_liz/class_labels/crag_10-0024_class_labels.png,256,256,51,0,40,1,1,0,9
125,crag_10-0025,125,data/conic_liz/images/crag_10-0025_image.png,data/conic_liz/masks/crag_10-0025_mask.png,data/conic_liz/class_labels/crag_10-0025_class_labels.png,256,256,52,1,37,4,2,0,8
126,crag_10-0026,126,data/conic_liz/images/crag_10-0026_image.png,data/conic_liz/masks/crag_10-0026_mask.png,data/conic_liz/class_labels/crag_10-0026_class_labels.png,256,256,37,1,14,4,0,0,18
127,crag_10-0027,127,data/conic_liz/images/crag_10-0027_image.png,data/conic_liz/masks/crag_10-0027_mask.png,data/conic_liz/class_labels/crag_10-0027_class_labels.png,256,256,81,0,80,1,0,0,0
128,crag_10-0028,128,data/conic_liz/images/crag_10-0028_image.png,data/conic_liz/masks/crag_10-0028_mask.png,data/conic_liz/class_labels/crag_10-0028_class_labels.png,256,256,41,0,27,1,0,0,13
129,crag_10-0029,129,data/conic_liz/images/crag_10-0029_image.png,data/conic_liz/masks/crag_10-0029_mask.png,data/conic_liz/class_labels/crag_10-0029_class_labels.png,256,256,84,0,70,2,0,0,12
130,crag_10-0030,130,data/conic_liz/images/crag_10-0030_image.png,data/conic_liz/masks/crag_10-0030_mask.png,data/conic_liz/class_labels/crag_10-0030_class_labels.png,256,256,70,0,45,3,1,0,21
131,crag_10-0031,131,data/conic_liz/images/crag_10-0031_image.png,data/conic_liz/masks/crag_10-0031_mask.png,data/conic_liz/class_labels/crag_10-0031_class_labels.png,256,256,88,0,75,2,0,0,11
132,crag_10-0032,132,data/conic_liz/images/crag_10-0032_image.png,data/conic_liz/masks/crag_10-0032_mask.png,data/conic_liz/class_labels/crag_10-0032_class_labels.png,256,256,87,0,84,2,0,0,1
